site,treatment,rep.num,time.rep,method,class,order,family,genus,species,morph,life.stage,count,date.deploy,date.recover,voucher.num,notes,group
TT ,combo,1,1,pitfall,insecta,coleoptera,elateridae,,,1,adult,1,5.18.2023,5.25.2023,1,,Elateridae
TT ,combo,1,1,pitfall,insecta,coleoptera,carabidae,,,1,adult,3,5.18.2023,5.25.2023,2,,Carabidae
TT ,combo,1,1,pitfall,diplopoda,spirobolida,,,,1,adult,1,5.18.2023,5.25.2023,3,,Diplopoda
TT ,combo,1,1,pitfall,diplopoda,spirobolida,,,,2,adult,1,5.18.2023,5.25.2023,4,,Diplopoda
TT ,combo,1,1,pitfall,collembola,entomobryromorpha,entomobryidae,,,1,adult,5,5.18.2023,5.25.2023,5,,Collembola
TT ,combo,1,1,pitfall,insecta,hymenoptera,formicidae,,,1,adult,8,5.18.2023,5.25.2023,6,,Formicidae
TT ,combo,1,1,pitfall,acari,oribatida,,,,1,adult,65,5.18.2023,5.25.2023,7,,Oribatid Mites
TT ,combo,1,1,pitfall,acari,oribatida,,,,2,adult,15,5.18.2023,5.25.2023,8,,Oribatid Mites
TT ,combo,1,1,pitfall,acari,astigmata,acaridae,,,1,adult,2,5.18.2023,5.25.2023,9,,Non-Oribatid Mites
TT ,combo,1,1,pitfall,collembola,symphypleona,,,,2,adult,1,5.18.2023,5.25.2023,10,,Collembola
TT ,combo,1,1,pitfall,collembola,symphypleona,,,,3,adult,1,5.18.2023,5.25.2023,11,,Collembola
TT ,combo,1,1,pitfall,arachnida,araneae,,,,1,adult,1,5.18.2023,5.25.2023,12,,Araneae
TT ,combo,1,1,pitfall,insecta,coleoptera,staphylinidae,,,1,adult,1,5.18.2023,5.25.2023,13,specimen degraded,Staphylinidae
TT ,combo,1,1,pitfall,collembola,symphypleona,,,,3,adult,1,5.18.2023,5.25.2023,,,Collembola
TT ,combo,1,1,pitfall,insecta,hymenoptera,formicidae,,,1,adult,2,5.18.2023,5.25.2023,,,Formicidae
TT ,combo,1,1,pitfall,collembola,symphypleona,,,,3,adult,11,5.18.2023,5.25.2023,,,Collembola
TT ,combo,1,1,pitfall,collembola,symphypleona,,,,2,adult,5,5.18.2023,5.25.2023,,,Collembola
TT ,combo,1,1,pitfall,insecta,coleoptera,carabidae,,,2,adult,1,5.18.2023,5.25.2023,15,,Carabidae
TT ,combo,1,1,pitfall,insecta,coleoptera,staphylinidae,,,2,adult,1,5.18.2023,5.25.2023,14,,Staphylinidae
TT ,combo,1,1,pitfall,acari,oribatida,,,,1,adult,16,5.18.2023,5.25.2023,,,Oribatid Mites
TT ,combo,1,1,pitfall,acari,oribatida,,,,2,adult,2,5.18.2023,5.25.2023,,,Oribatid Mites
TT ,combo,1,1,pitfall,arachnida,araneae,,,,2,adult,1,5.18.2023,5.25.2023,16,,Araneae
TT ,combo,1,1,pitfall,diplopoda,spirobolida,,,,3,adult,1,5.18.2023,5.25.2023,17,,Diplopoda
TT ,combo,1,1,pitfall,insecta,coleoptera,carabidae,,,3,adult,1,5.18.2023,5.25.2023,18,,Carabidae
TT ,combo,1,1,pitfall,acari,mesostigmata,,,,2,adult,5,5.18.2023,5.25.2023,19,,Predatory Mites
TT ,ace,2,1,pitfall,insecta,coleoptera,carabidae,,,1,adult,1,5.18.2023,5.25.2023,,,Carabidae
TT ,ace,2,1,pitfall,acari,mesostigmata,,,,2,adult,1,5.18.2023,5.25.2023,,,Predatory Mites
TT ,ace,2,1,pitfall,insecta,hymenoptera,formicidae,,,2,adult,1,5.18.2023,5.25.2023,,,Formicidae
TT ,ace,2,1,pitfall,insecta,coleoptera,carabidae,,,1,adult,1,5.18.2023,5.25.2023,,,Carabidae
TT ,ace,2,1,pitfall,insecta,coleoptera,carabidae,,,3,adult,1,5.18.2023,5.25.2023,,,Carabidae
TT ,ace,2,1,pitfall,arachnida,araneae,,,,3,adult,1,5.18.2023,5.25.2023,20,,Araneae
TT ,ace,2,1,pitfall,collembola,entomobryromorpha,entomobryidae,,,1,adult,3,5.18.2023,5.25.2023,,,Collembola
TT ,ace,2,1,pitfall,acari,mesostigmata,,,,2,adult,1,5.18.2023,5.25.2023,,,Predatory Mites
TT ,ace,2,1,pitfall,diplopoda,spirobolida,,,,1,adult,1,5.18.2023,5.25.2023,,,Diplopoda
TT ,ace,2,1,pitfall,insecta,hymenoptera,formicidae,,,1,adult,2,5.18.2023,5.25.2023,,,Formicidae
TT ,ace,2,1,pitfall,collembola,symphypleona,,,,1,adult,2,5.18.2023,5.25.2023,,,Collembola
TT ,ace,2,1,pitfall,insecta,coleoptera,staphylinidae,,,2,adult,1,5.18.2023,5.25.2023,,,Staphylinidae
TT ,ace,2,1,pitfall,acari,oribatida,,,,1,adult,80,5.18.2023,5.25.2023,,,Oribatid Mites
TT ,ace,2,1,pitfall,acari,oribatida,,,,2,adult,8,5.18.2023,5.25.2023,,,Oribatid Mites
TT ,nov,3,1,pitfall,insecta,hymenoptera,formicidae,,,2,adult,5,5.18.2023,5.25.2023,,,Formicidae
TT ,nov,3,1,pitfall,insecta,coleoptera,carabidae,,,1,adult,1,5.18.2023,5.25.2023,,,Carabidae
TT ,nov,3,1,pitfall,insecta,coleoptera,staphylinidae,,,2,larvae,1,5.18.2023,5.25.2023,21,,Predatory Larvae
TT ,nov,3,1,pitfall,collembola,symphypleona,,,,3,adult,4,5.18.2023,5.25.2023,,,Collembola
TT ,nov,3,1,pitfall,collembola,symphypleona,,,,2,adult,4,5.18.2023,5.25.2023,,,Collembola
TT ,nov,3,1,pitfall,acari,mesostigmata,,,,2,adult,1,5.18.2023,5.25.2023,,,Predatory Mites
TT ,nov,3,1,pitfall,collembola,entomobryromorpha,entomobryidae,,,1,adult,6,5.18.2023,5.25.2023,,,Collembola
TT ,nov,3,1,pitfall,acari,mesostigmata,,,,2,adult,2,5.18.2023,5.25.2023,,,Predatory Mites
TT ,nov,3,1,pitfall,insecta,coleoptera,staphylinidae,,,1,adult,1,5.18.2023,5.25.2023,,,Staphylinidae
TT ,nov,3,1,pitfall,diplopoda,spirobolida,,,,2,adult,1,5.18.2023,5.25.2023,,,Diplopoda
TT ,nov,3,1,pitfall,acari,mesostigmata,,,,2,adult,5,5.18.2023,5.25.2023,,,Predatory Mites
TT ,nov,3,1,pitfall,collembola,symphypleona,,,,2,adult,2,5.18.2023,5.25.2023,,,Collembola
TT ,nov,3,1,pitfall,collembola,symphypleona,,,,3,adult,4,5.18.2023,5.25.2023,,,Collembola
TT ,nov,3,1,pitfall,arachnida,araneae,,,,3,adult,1,5.18.2023,5.25.2023,,,Araneae
